AssetID,Part,LogType,Sys,Description,KKS,MeasurementUnit,XD,StartTime,Tanavob,EditTime,RangeLL,RangeHH,RangeBol1,RangeBol2,RangeBol3,RangeBol4,NumType,Conditions,AssetRange,ShowCondition,SequenceShow,Activation,AssetTag,ActiveTimeTag,ActivationTag,Job,IsDeleted,LTShort,Version,Type
1695,GT,FO TO FG,Fuel Gas,والو دستي ورودی به اسکید كاملا باز است ,EKD10AA001,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,1,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE39,Form
1696,GT,FO TO FG,Fuel Gas,سطح مايع در هر دو فيلتر دو قلو روي سايت گلاس هاي محلي پايين تر از سطح مجاز مشخص شده باشد,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,2,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE3A,Form
1697,GT,FO TO FG,Fuel Gas,از فيلترهاي دو قلو فيلتر شماره .............. در مدار بوده و فيلتر ديگر به حالت STAND BY قرار دارد,0,0,0:00,0:00,0:00,1:00,0,0,1,2,0,0,2,2,2-Jan,5,3,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE3B,Form
1698,GT,FO TO FG,Fuel Gas,"والوهاي بالانسينگ به KKS هاي EKE11AA002,003 و EKE12AA002 كاملا بسته باشند",0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,4,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE3C,Form
1699,GT,FO TO FG,Fuel Gas,هر دو والو درين و هر دو والو ونت هر كدام از فيلتر هاي دو قلو كاملا بسته باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,5,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE3D,Form
1700,GT,FO TO FG,Fuel Gas,والوهاي ايزوله ∆P هاي مربوط به فيلترهاي دوقلوي 1و2 باز باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,6,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE3E,Form
1701,GT,FO TO FG,Fuel Gas,والوهاي ايزوله مربوط به ترانسيمتر هاي سطح فيلترهاي دوقلوي 1و2 باز باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,7,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE3F,Form
1702,GT,FO TO FG,Fuel Gas,سطح مايع در فیلتر شماره 3 پايين تر از سطح مجاز مشخص شده باشد.,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,8,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE40,Form
1703,GT,FO TO FG,Fuel Gas,هر دو والو درين و هر دو والو ونت فیلتر شماره 3 كاملا بسته باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,9,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE41,Form
1704,GT,FO TO FG,Fuel Gas,والوهاي ايزوله ∆P فیلتر شماره 3 باز باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,10,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE42,Form
1705,GT,FO TO FG,Fuel Gas,والوهاي ايزوله مربوط به ترانسيمتر سطح فیلتر شماره 3 باز باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,11,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE43,Form
1706,GT,FO TO FG,Fuel Gas,ضروري است كه والو دستي قبل از والو موتوري مسير ونت بعد از Shut off valve باز باشد,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,12,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE44,Form
1707,GT,FO TO FG,Fuel Gas,هيچگونه نشتي گاز در تجهيزات و اتصالات اسكيد گاز بيروني توسط اپراتور بهره برداري تشخيص داده نشد,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,13,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE45,Form
1708,GT,FO TO FG,Fuel Gas,كليه شيرهاي ايزوله مربوط به تجهيزات ابزار دقيق نشانگر محلي باز باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,14,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE46,Form
1709,GT,FO TO FG,اینکلوژر گاز,"والوهاي  ايزوله سوييچ هاي فشار مربوط به حفاظت تريپ واحد (MBP11CP001,002) باز باشند",0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,15,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE47,Form
1710,GT,FO TO FG,اینکلوژر گاز,والو ايزوله مربو ط به ترانسيمتر فشار گاز قبل از ESV (MBP13CP101) باز باشد,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,16,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE48,Form
1711,GT,FO TO FG,اینکلوژر گاز,كليه والوهاي ايزوله منتهي به تجهيزات ابزار دقيق محلي باز باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,17,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE49,Form
1712,GT,FO TO FG,اینکلوژر گاز,دمپر هواي ورودي به اينكلوژر و دمپر هواي خروجي از اينكلوژر باز باشند,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,18,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE4A,Form
1713,GT,FO TO FG,اینکلوژر گاز,يكي از فنهاي تهويه اينكلوژر از محل در مدار قرار داده شود,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,19,1,0,0:15,0,Operation,0,CDP,0x00000000001AAE4B,Form
1714,GT,FG TO FO,Fuel Oil,هيچگونه نشتي گازوئيل از لوله هاي داخل Pipe Rack مشاهده نشده و آثار نشتي گازوئيل روي زمين و روي ديفيوزر اگزوز ديده نمي شود ,0,0,0:00,0:00,0:00,1:00,0,0,OK,Not OK,0,0,2,1,OK,5,2,1,0,0:15,0,Operation,0,CDP,0x000000000023E704,Form
